symbol,base_coin,quote_coin,project_name
1INCHBTC,1INCH,BTC,1inch
1INCHUSDT,1INCH,USDT,1inch
AAVEBTC,AAVE,BTC,Aave
AAVEETH,AAVE,ETH,Aave
AAVEUSDT,AAVE,USDT,Aave
ACABTC,ACA,BTC,Acala Network
ACATRY,ACA,TRY,Acala Network
ACAUSDT,ACA,USDT,Acala Network
ACHBTC,ACH,BTC,Alchemy Pay
ACHTRY,ACH,TRY,Alchemy Pay
ACHUSDT,ACH,USDT,Alchemy Pay
ACMUSDT,ACM,USDT,Alicius Muskimus
ADABNB,ADA,BNB,Cardano
ADABRL,AD,ABRL,Agent DORA
ADABTC,ADA,BTC,Cardano
ADAETH,ADA,ETH,Cardano
ADAEUR,ADA,EUR,Cardano
ADAFDUSD,ADA,FDUSD,Cardano
ADATRY,ADA,TRY,Cardano
ADAUSDC,ADA,USDC,Cardano
ADAUSDT,ADA,USDT,Cardano
ADXBTC,ADX,BTC,AnyDex
ADXETH,ADX,ETH,AnyDex
ADXUSDT,ADX,USDT,AnyDex
AGLDBTC,AGLD,BTC,Adventure Gold
AGLDUSDT,AGLD,USDT,Adventure Gold
ALCXUSDT,ALCX,USDT,Alchemix
ALGOBTC,ALGO,BTC,Algorand
ALGOTRY,ALGO,TRY,Algorand
ALGOUSDC,ALGO,USDC,Algorand
ALGOUSDT,ALGO,USDT,Algorand
ALICETRY,ALICE,TRY,My Neighbor Alice
ALICEUSDT,ALICE,USDT,My Neighbor Alice
ALPACAUSDT,ALPACA,USDT,Alpaca Finance
ALPHAUSDT,ALPHA,USDT,Alpha Shards
ALPINETRY,ALPINE,TRY,Alpine F1 Team Fan Token
ALPINEUSDT,ALPINE,USDT,Alpine F1 Team Fan Token
AMPTRY,AMP,TRY,Amp
AMPUSDT,AMP,USDT,Amp
ANKRBTC,ANKR,BTC,Ankr Network
ANKRTRY,ANKR,TRY,Ankr Network
ANKRUSDT,ANKR,USDT,Ankr Network
APEBTC,APE,BTC,Apetos
APETRY,APE,TRY,Apetos
APEUSDT,APE,USDT,Apetos
API3BTC,API3,BTC,Api3
API3TRY,API3,TRY,Api3
API3USDT,API3,USDT,Api3
APTBTC,APT,BTC,Aptos
APTETH,APT,ETH,Aptos
APTEUR,APT,EUR,Aptos
APTTRY,APT,TRY,Aptos
APTUSDT,APT,USDT,Aptos
ARBBTC,ARB,BTC,Osmosis allARB
ARBETH,ARB,ETH,Osmosis allARB
ARBEUR,ARB,EUR,Osmosis allARB
ARBFDUSD,ARB,FDUSD,Osmosis allARB
ARBTC,AR,BTC,Arweave
ARBTRY,ARB,TRY,Osmosis allARB
ARBTUSD,AR,BTUSD,Arweave
ARBUSDT,ARB,USDT,Osmosis allARB
ARDRBTC,ARDR,BTC,Ardor
ARDRUSDT,ARDR,USDT,Ardor
ARKMBNB,ARKM,BNB,Arkham
ARKMBTC,ARKM,BTC,Arkham
ARKMTRY,ARKM,TRY,Arkham
ARKMUSDT,ARKM,USDT,Arkham
ARKTRY,ARK,TRY,Ark
ARKUSDT,ARK,USDT,Ark
ARPABTC,ARPA,BTC,ARPA
ARPATRY,ARPA,TRY,ARPA
ARPAUSDT,ARPA,USDT,ARPA
ARUSDT,AR,USDT,Arweave
ASRTRY,ASR,TRY,AS Roma Fan Token
ASRUSDT,ASR,USDT,AS Roma Fan Token
ASTRBTC,ASTR,BTC,Astar
ASTRUSDT,ASTR,USDT,Astar
ATABTC,ATA,BTC,Automata
ATAUSDT,ATA,USDT,Automata
ATMTRY,ATM,TRY,Automatic Treasury Machine
ATMUSDT,ATM,USDT,Automatic Treasury Machine
ATOMBTC,ATOM,BTC,Cosmos
ATOMETH,ATOM,ETH,Cosmos
ATOMEUR,ATOM,EUR,Cosmos
ATOMFDUSD,ATOM,FDUSD,Cosmos
ATOMTRY,ATOM,TRY,Cosmos
ATOMUSDC,ATOM,USDC,Cosmos
ATOMUSDT,ATOM,USDT,Cosmos
AUCTIONBTC,AUCTION,BTC,Bounce
AUCTIONUSDT,AUCTION,USDT,Bounce
AUDIOBTC,AUDIO,BTC,Audius (Wormhole)
AUDIOTRY,AUDIO,TRY,Audius (Wormhole)
AUDIOUSDT,AUDIO,USDT,Audius (Wormhole)
AVABTC,AVA,BTC,AVA (Travala)
AVAUSDT,AVA,USDT,AVA (Travala)
AVAXBNB,AVAX,BNB,Avalanche
AVAXBRL,AVAX,BRL,Avalanche
AVAXBTC,AVAX,BTC,Avalanche
AVAXETH,AVAX,ETH,Avalanche
AVAXEUR,AVAX,EUR,Avalanche
AVAXFDUSD,AVAX,FDUSD,Avalanche
AVAXTRY,AVAX,TRY,Avalanche
AVAXUSDT,AVAX,USDT,Avalanche
AXSBNB,AXS,BNB,Axie Infinity
AXSBTC,AXS,BTC,Axie Infinity
AXSETH,AXS,ETH,Axie Infinity
AXSTRY,AXS,TRY,Axie Infinity
AXSUSDT,AXS,USDT,Axie Infinity
BAKEBTC,BAKE,BTC,BakerySwap
BAKEUSDT,BAKE,USDT,BakerySwap
BANDBTC,BAND,BTC,Band Protocol
BANDUSDT,BAND,USDT,Band Protocol
BARTRY,BAR,TRY,Gold Standard
BARUSDT,BAR,USDT,Gold Standard
BATBTC,BAT,BTC,Batic
BATUSDT,BAT,USDT,Batic
BCHBNB,BCH,BNB,Bitcoin Cash
BCHBTC,BCH,BTC,Bitcoin Cash
BCHEUR,BCH,EUR,Bitcoin Cash
BCHFDUSD,BCH,FDUSD,Bitcoin Cash
BCHTRY,BCH,TRY,Bitcoin Cash
BCHUSDC,BCH,USDC,Bitcoin Cash
BCHUSDT,BCH,USDT,Bitcoin Cash
BEAMXTRY,BEAMX,TRY,BeamX Token
BEAMXUSDT,BEAMX,USDT,BeamX Token
BELBTC,BEL,BTC,Bellscoin
BELTRY,BEL,TRY,Bellscoin
BELUSDT,BEL,USDT,Bellscoin
BICOBTC,BICO,BTC,Biconomy
BICOUSDT,BICO,USDT,Biconomy
BIFIUSDT,BIFI,USDT,Bitcoin File
BNBBRL,BN,BBRL,TNA Protocol
BNBBTC,BNB,BTC,BNB
BNBETH,BNB,ETH,BNB
BNBEUR,BNB,EUR,BNB
BNBFDUSD,BNB,FDUSD,BNB
BNBTRY,BNB,TRY,BNB
BNBTUSD,BN,BTUSD,TNA Protocol
BNBUSDC,BNB,USDC,BNB
BNBUSDT,BNB,USDT,BNB
BNTUSDT,BNT,USDT,Bancor Network
BSWTRY,BSW,TRY,Biswap
BSWUSDT,BSW,USDT,Biswap
BTCARS,BTC,ARS,Bitcoin
BTCBRL,B,TCBRL,BUILDon
BTCDAI,BTC,DAI,Bitcoin
BTCEUR,BTC,EUR,Bitcoin
BTCFDUSD,BTC,FDUSD,Bitcoin
BTCPLN,BTC,PLN,Bitcoin
BTCRON,BTC,RON,Bitcoin
BTCTRY,BTC,TRY,Bitcoin
BTCTUSD,BTC,TUSD,Bitcoin
BTCUAH,BTC,UAH,Bitcoin
BTCUSDC,BTC,USDC,Bitcoin
BTCUSDT,BTC,USDT,Bitcoin
BTCZAR,BTC,ZAR,Bitcoin
BTTCTRY,BTTC,TRY,BitTorrent Chain
BTTCUSDT,BTTC,USDT,BitTorrent Chain
C98USDT,C98,USDT,Coin98
CAKEBNB,CAKE,BNB,PancakeSwap
