symbol,base_coin,quote_coin
1INCHBTC,1INCH,BTC
1INCHUSDT,1INCH,USDT
AAVEBTC,AAVE,BTC
AAVEETH,AAVE,ETH
AAVEUSDT,AAVE,USDT
ACABTC,ACA,BTC
ACATRY,ACA,TRY
ACAUSDT,ACA,USDT
ACHBTC,ACH,BTC
ACHTRY,ACH,TRY
ACHUSDT,ACH,USDT
ACMUSDT,ACM,USDT
ADABNB,ADA,BNB
ADABRL,AD,ABRL
ADABTC,ADA,BTC
ADAETH,ADA,ETH
ADAEUR,ADA,EUR
ADAFDUSD,ADA,FDUSD
ADATRY,ADA,TRY
ADAUSDC,ADA,USDC
ADAUSDT,ADA,USDT
ADXBTC,ADX,BTC
ADXETH,ADX,ETH
ADXUSDT,ADX,USDT
AGLDBTC,AGLD,BTC
AGLDUSDT,AGLD,USDT
ALCXUSDT,ALCX,USDT
ALGOBTC,ALGO,BTC
ALGOTRY,ALGO,TRY
ALGOUSDC,ALGO,USDC
ALGOUSDT,ALGO,USDT
ALICETRY,ALICE,TRY
ALICEUSDT,ALICE,USDT
ALPACAUSDT,ALPACA,USDT
ALPHAUSDT,ALPHA,USDT
ALPINETRY,ALPINE,TRY
ALPINEUSDT,ALPINE,USDT
AMPTRY,AMP,TRY
AMPUSDT,AMP,USDT
ANKRBTC,ANKR,BTC
ANKRTRY,ANKR,TRY
ANKRUSDT,ANKR,USDT
APEBTC,APE,BTC
APETRY,APE,TRY
APEUSDT,APE,USDT
API3BTC,API3,BTC
API3TRY,API3,TRY
API3USDT,API3,USDT
APTBTC,APT,BTC
APTETH,APT,ETH
APTEUR,APT,EUR
APTTRY,APT,TRY
APTUSDT,APT,USDT
ARBBTC,ARB,BTC
ARBETH,ARB,ETH
ARBEUR,ARB,EUR
ARBFDUSD,AR,BFDUSD
ARBTC,AR,BTC
ARBTRY,ARB,TRY
ARBTUSD,AR,BTUSD
ARBUSDT,ARB,USDT
ARDRBTC,ARDR,BTC
ARDRUSDT,ARDR,USDT
ARKMBNB,ARKM,BNB
ARKMBTC,ARKM,BTC
ARKMTRY,ARKM,TRY
ARKMUSDT,ARKM,USDT
ARKTRY,ARK,TRY
ARKUSDT,ARK,USDT
ARPABTC,ARPA,BTC
ARPATRY,ARPA,TRY
ARPAUSDT,ARPA,USDT
ARUSDT,AR,USDT
ASRTRY,ASR,TRY
ASRUSDT,ASR,USDT
ASTRBTC,ASTR,BTC
ASTRUSDT,ASTR,USDT
ATABTC,ATA,BTC
ATAUSDT,ATA,USDT
ATMTRY,ATM,TRY
ATMUSDT,ATM,USDT
ATOMBTC,ATOM,BTC
ATOMETH,ATOM,ETH
ATOMEUR,ATOM,EUR
ATOMFDUSD,ATOM,FDUSD
ATOMTRY,ATOM,TRY
ATOMUSDC,ATOM,USDC
ATOMUSDT,ATOM,USDT
AUCTIONBTC,AUCTION,BTC
AUCTIONUSDT,AUCTION,USDT
AUDIOBTC,AUDIO,BTC
AUDIOTRY,AUDIO,TRY
AUDIOUSDT,AUDIO,USDT
AVABTC,AVA,BTC
